x1 y1 x2 y2 w h conf cls name date time
0.0 502.0 287.0 640.0 287.0 138.0 0.5205210447311401 3.0 parthenium_hysterophorus 2023-06-01 00:54:36.558860
83.0 355.0 345.0 554.0 262.0 199.0 0.6704136729240417 0.0 borh 2023-06-01 00:54:36.704879
45.0 189.0 419.0 627.0 374.0 438.0 0.6201175451278687 0.0 borh 2023-06-01 00:54:36.799599
17.0 189.0 267.0 387.0 250.0 198.0 0.9267939329147339 0.0 borh 2023-06-01 00:54:36.899032
26.0 182.0 277.0 388.0 251.0 206.0 0.9447180032730103 0.0 borh 2023-06-01 00:54:36.980904
35.0 178.0 301.0 386.0 266.0 208.0 0.9334930777549744 0.0 borh 2023-06-01 00:54:37.037240
44.0 181.0 308.0 391.0 264.0 210.0 0.9474627375602722 0.0 borh 2023-06-01 00:54:37.117177
48.0 185.0 340.0 405.0 292.0 220.0 0.8407326340675354 0.0 borh 2023-06-01 00:54:37.201107
63.0 197.0 346.0 416.0 283.0 219.0 0.8797149658203125 0.0 borh 2023-06-01 00:54:37.286776
60.0 238.0 338.0 454.0 278.0 216.0 0.8979948163032532 0.0 borh 2023-06-01 00:54:37.377585
57.0 252.0 323.0 469.0 266.0 217.0 0.9174119830131531 0.0 borh 2023-06-01 00:54:37.470517
42.0 259.0 295.0 466.0 253.0 207.0 0.9250155091285706 0.0 borh 2023-06-01 00:54:37.546224
47.0 266.0 292.0 473.0 245.0 207.0 0.9138728976249695 0.0 borh 2023-06-01 00:54:37.606059
42.0 265.0 295.0 477.0 253.0 212.0 0.9056684374809265 0.0 borh 2023-06-01 00:54:37.685395
49.0 270.0 295.0 480.0 246.0 210.0 0.897659182548523 0.0 borh 2023-06-01 00:54:37.770854
44.0 256.0 295.0 473.0 251.0 217.0 0.9362598061561584 0.0 borh 2023-06-01 00:54:37.869654
31.0 245.0 292.0 464.0 261.0 219.0 0.9241275191307068 0.0 borh 2023-06-01 00:54:37.961746
14.0 242.0 284.0 468.0 270.0 226.0 0.9504427313804626 0.0 borh 2023-06-01 00:54:38.050184
11.0 243.0 289.0 469.0 278.0 226.0 0.9538082480430603 0.0 borh 2023-06-01 00:54:38.112651
11.0 243.0 289.0 469.0 278.0 226.0 0.9538082480430603 0.0 borh 2023-06-01 00:54:38.171492
29.0 240.0 295.0 468.0 266.0 228.0 0.9218853116035461 0.0 borh 2023-06-01 00:54:38.238314
18.0 238.0 294.0 469.0 276.0 231.0 0.9333226084709167 0.0 borh 2023-06-01 00:54:38.286183
10.0 227.0 292.0 464.0 282.0 237.0 0.9167683124542236 0.0 borh 2023-06-01 00:54:38.343523
124.0 177.0 420.0 474.0 296.0 297.0 0.843822717666626 0.0 borh 2023-06-01 00:54:38.401340
125.0 176.0 420.0 480.0 295.0 304.0 0.8467733860015869 0.0 borh 2023-06-01 00:54:38.478817
113.0 172.0 420.0 496.0 307.0 324.0 0.7779655456542969 0.0 borh 2023-06-01 00:54:38.558901
133.0 173.0 420.0 491.0 287.0 318.0 0.7824692130088806 0.0 borh 2023-06-01 00:54:38.661173
128.0 169.0 420.0 503.0 292.0 334.0 0.7661717534065247 0.0 borh 2023-06-01 00:54:38.732373
129.0 165.0 420.0 506.0 291.0 341.0 0.7715404629707336 0.0 borh 2023-06-01 00:54:38.800875
126.0 163.0 420.0 513.0 294.0 350.0 0.7672868371009827 0.0 borh 2023-06-01 00:54:38.862748
0.0 32.0 420.0 511.0 420.0 479.0 0.6885300874710083 0.0 borh 2023-06-01 00:54:38.925152
71.0 94.0 420.0 527.0 349.0 433.0 0.6733995079994202 0.0 borh 2023-06-01 00:54:39.008116
80.0 91.0 420.0 531.0 340.0 440.0 0.6376190185546875 0.0 borh 2023-06-01 00:54:39.096761
80.0 91.0 420.0 531.0 340.0 440.0 0.6376190185546875 0.0 borh 2023-06-01 00:54:39.188844
140.0 219.0 420.0 548.0 280.0 329.0 0.7039205431938171 0.0 borh 2023-06-01 00:54:39.273214
154.0 211.0 420.0 559.0 266.0 348.0 0.8056831359863281 0.0 borh 2023-06-01 00:54:39.328099
167.0 220.0 420.0 571.0 253.0 351.0 0.8302638530731201 0.0 borh 2023-06-01 00:54:39.408289
0.0 178.0 318.0 630.0 318.0 452.0 0.8583287596702576 0.0 borh 2023-06-01 00:54:39.495359
0.0 153.0 285.0 623.0 285.0 470.0 0.6958418488502502 0.0 borh 2023-06-01 00:54:39.588396
0.0 178.0 308.0 629.0 308.0 451.0 0.8077285289764404 0.0 borh 2023-06-01 00:54:39.684046
0.0 152.0 278.0 600.0 278.0 448.0 0.6686124205589294 0.0 borh 2023-06-01 00:54:39.773255
0.0 153.0 273.0 585.0 273.0 432.0 0.553746223449707 0.0 borh 2023-06-01 00:54:39.859117
0.0 177.0 256.0 533.0 256.0 356.0 0.6814438700675964 0.0 borh 2023-06-01 00:54:39.937380
148.0 438.0 352.0 597.0 204.0 159.0 0.7412309050559998 0.0 borh 2023-06-01 00:54:39.939854
159.0 441.0 355.0 602.0 196.0 161.0 0.5410169959068298 0.0 borh 2023-06-01 00:54:40.021024
159.0 441.0 355.0 602.0 196.0 161.0 0.5410169959068298 0.0 borh 2023-06-01 00:54:40.075280
213.0 445.0 419.0 620.0 206.0 175.0 0.8494923114776611 0.0 borh 2023-06-01 00:54:40.224828
223.0 442.0 420.0 614.0 197.0 172.0 0.934307873249054 0.0 borh 2023-06-01 00:54:40.317371
225.0 441.0 420.0 614.0 195.0 173.0 0.9195740222930908 0.0 borh 2023-06-01 00:54:40.405216
223.0 442.0 420.0 613.0 197.0 171.0 0.8659116625785828 0.0 borh 2023-06-01 00:54:40.476441
221.0 436.0 420.0 607.0 199.0 171.0 0.8991118669509888 0.0 borh 2023-06-01 00:54:40.552894
