               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089183,            0.032075,            0.042994,           0.0017742,             0.28481,           0.0014709,          0.00037556,            0.071116,            0.019625,            0.041312,             0.07037,           0.0032922,           0.0032922
                   1,             0.08033,            0.032306,            0.040749,           0.0026959,             0.50608,           0.0041485,            0.001037,             0.07046,            0.019528,            0.039857,            0.040305,           0.0065599,           0.0065599
                   2,            0.078134,            0.032495,            0.039793,           0.0021369,             0.34072,           0.0023106,          0.00052656,             0.07175,             0.01877,            0.039777,            0.010173,           0.0097617,           0.0097617
                   3,            0.072864,            0.033738,              0.0391,            0.002046,              0.4106,           0.0052781,           0.0010251,            0.073663,            0.017534,            0.038722,            0.009703,            0.009703,            0.009703
                   4,            0.067741,            0.033074,            0.037084,             0.77187,             0.06044,            0.086997,            0.027673,            0.066264,            0.016636,            0.035636,            0.009703,            0.009703,            0.009703
                   5,            0.064287,            0.032832,             0.03412,             0.35811,             0.24524,             0.12398,            0.037628,            0.071401,            0.015292,            0.028275,            0.009604,            0.009604,            0.009604
                   6,            0.059918,            0.030722,            0.032422,              0.3959,             0.24377,             0.13934,            0.033641,            0.072518,            0.014456,            0.026628,            0.009505,            0.009505,            0.009505
                   7,            0.059233,            0.031044,            0.029423,             0.82643,            0.057692,            0.063797,            0.014032,            0.072941,            0.024384,             0.03803,            0.009406,            0.009406,            0.009406
                   8,            0.057931,            0.031218,            0.027576,             0.85087,            0.096154,            0.098698,             0.02463,            0.067805,            0.016099,            0.036396,            0.009307,            0.009307,            0.009307
                   9,            0.056245,            0.029994,            0.027352,             0.50254,             0.28934,             0.28037,             0.09696,            0.058402,            0.017105,            0.021835,            0.009208,            0.009208,            0.009208
                  10,            0.055403,            0.030288,            0.025816,             0.89968,            0.076923,             0.10401,             0.03172,            0.069561,            0.021937,             0.03767,            0.009109,            0.009109,            0.009109
                  11,            0.054508,            0.029688,             0.02396,             0.20571,             0.20227,             0.14933,            0.044721,            0.066789,            0.014491,            0.029767,             0.00901,             0.00901,             0.00901
                  12,            0.053643,            0.029624,            0.024276,             0.31447,             0.26999,             0.25405,            0.063645,            0.067484,            0.013991,            0.016676,            0.008911,            0.008911,            0.008911
                  13,            0.052469,            0.029459,             0.02195,            0.049141,             0.12035,            0.075749,            0.016116,            0.073578,            0.016336,            0.039826,            0.008812,            0.008812,            0.008812
                  14,            0.051864,            0.029092,             0.02044,                0.12,              0.3212,             0.16686,            0.036974,            0.063591,            0.015588,             0.03286,            0.008713,            0.008713,            0.008713
                  15,            0.051836,            0.028509,            0.020021,              0.2934,             0.35605,             0.29781,            0.090364,            0.061436,            0.013193,            0.023382,            0.008614,            0.008614,            0.008614
                  16,            0.050764,            0.028736,            0.019509,             0.35964,             0.40306,              0.3189,            0.094318,            0.060349,            0.013737,            0.015801,            0.008515,            0.008515,            0.008515
                  17,            0.050678,            0.028543,            0.018528,             0.47705,              0.4535,             0.44315,             0.13566,            0.058386,            0.012931,            0.012935,            0.008416,            0.008416,            0.008416
                  18,            0.049693,            0.028256,            0.017892,             0.21267,             0.32678,             0.22853,               0.071,            0.061286,            0.015816,            0.016039,            0.008317,            0.008317,            0.008317
                  19,            0.049885,            0.028086,            0.017867,             0.40326,             0.44644,             0.40474,             0.16052,            0.053658,            0.013453,            0.011623,            0.008218,            0.008218,            0.008218
                  20,            0.049232,            0.027496,             0.01617,             0.34118,             0.43392,             0.36242,             0.15691,            0.053364,            0.014735,            0.015413,            0.008119,            0.008119,            0.008119
                  21,            0.049454,            0.027615,            0.015895,             0.34533,             0.29504,             0.20176,            0.070842,            0.055236,            0.022084,            0.036979,             0.00802,             0.00802,             0.00802
